0.83,0.355,0.64,0.165,4
0.165,0.64,0.64,0.83,6
0.165,0.83,0.355,0.83,7
0.83,0.64,0.165,0.64,6
0.355,0.355,0.165,0.355,2
0.83,0.83,0.83,0.64,9
0.83,0.83,0.83,0.64,9
0.83,0.83,0.83,0.83,10
0.165,0.165,0.64,0.355,3
0.165,0.165,0.64,0.64,5
0.83,0.83,0.165,0.64,7
0.355,0.355,0.165,0.83,5
0.83,0.83,0.165,0.64,7
0.83,0.83,0.83,0.83,10
0.83,0.83,0.83,0.83,10
0.64,0.83,0.83,0.83,9
0.355,0.83,0.83,0.83,8
0.83,0.83,0.83,0.83,10
0.355,0.355,0.64,0.355,4
0.355,0.83,0.165,0.83,6
0.83,0.83,0.64,0.83,9
0.83,0.64,0.83,0.83,8
0.83,0.64,0.64,0.64,7
0.165,0.83,0.165,0.165,3
0.83,0.64,0.83,0.83,8
0.83,0.83,0.83,0.83,10
0.64,0.83,0.83,0.64,8
0.165,0.165,0.165,0.83,3
0.83,0.83,0.83,0.83,10
0.64,0.355,0.64,0.83,6
0.64,0.64,0.64,0.64,6
0.64,0.83,0.355,0.355,6
0.165,0.165,0.165,0.165,1
0.165,0.83,0.355,0.64,6
0.165,0.64,0.165,0.165,2
0.64,0.64,0.165,0.355,4
0.165,0.64,0.165,0.165,2
0.165,0.83,0.165,0.355,5
0.165,0.83,0.165,0.165,3
0.165,0.355,0.165,0.165,2
0.165,0.83,0.165,0.165,3
0.165,0.64,0.355,0.165,3
0.355,0.64,0.165,0.165,3
0.355,0.83,0.165,0.165,4
0.165,0.83,0.165,0.165,3
0.355,0.83,0.165,0.83,6
0.64,0.83,0.64,0.355,6
0.355,0.83,0.83,0.83,8
0.165,0.83,0.165,0.165,3
0.165,0.355,0.165,0.165,2
0.165,0.83,0.355,0.355,5
0.165,0.165,0.165,0.165,1
0.64,0.83,0.165,0.355,5
0.165,0.64,0.165,0.355,3
0.355,0.355,0.165,0.355,2
0.165,0.355,0.165,0.165,2
0.165,0.165,0.165,0.165,1
0.165,0.355,0.165,0.355,2
0.165,0.355,0.165,0.165,2
0.64,0.64,0.165,0.355,4
0.355,0.83,0.165,0.165,4
